,coords,count_cleaned_intersections,count_nonplanar_intersections,count_planar_intersections,distance,edge_length_ratio,is_planar,mean_edge_length,mean_planar_segment_length,name,network_type,nodes,overcount_nonplanar_cleaned,overcount_planar_cleaned,overcount_planar_nonplanar,phi,runtime
34,"(37.76852792849057, -122.15212944025991)",117,140,145,805,0.9666665594396859,False,156.271911535554,151.06283106113696,"45_Oakland, California, USA",drive,194,1.1965811965811965,1.2393162393162394,1.0357142857142858,0.9655172413793103,13.004999876022339
35,"(37.786703579794995, -122.18618637080469)",163,183,205,805,0.9282575701868043,False,143.2524210365463,132.97514427476153,"46_Oakland, California, USA",drive,270,1.1226993865030674,1.2576687116564418,1.1202185792349726,0.8926829268292683,18.402597188949585
36,"(37.71963529002209, -122.20336374910599)",30,40,50,805,0.8214284935829966,False,222.20397466648328,182.5246761784437,"47_Oakland, California, USA",drive,57,1.3333333333333333,1.6666666666666667,1.25,0.8,6.329002141952515
37,"(37.745164349461824, -122.16373664156654)",192,206,206,805,0.9999998571911227,True,117.55948848619138,117.55947169765282,"48_Oakland, California, USA",drive,276,1.0729166666666667,1.0729166666666667,1.0,1.0,20.008538961410522
38,"(37.76931742429031, -122.13847729337662)",53,61,61,805,0.9999999215853997,True,194.7100670241048,194.71005175599274,"49_Oakland, California, USA",drive,103,1.150943396226415,1.150943396226415,1.0,1.0,8.585005521774292
39,"(37.82097809023636, -122.31719223914324)",14,14,18,805,0.849999976448527,True,529.8846694544228,450.40195655669487,"51_Oakland, California, USA",drive,37,1.0,1.2857142857142858,1.2857142857142858,0.7777777777777777,3.448000431060791
40,"(37.74790564833773, -122.1749326623608)",189,208,208,805,0.9999998490815957,True,116.66331665616048,116.66329904951888,"53_Oakland, California, USA",drive,262,1.1005291005291005,1.1005291005291005,1.0,1.0,19.938003301620483
41,"(37.8458374538605, -122.21273975229708)",58,61,61,805,0.9999999316454975,True,209.6276962151966,209.62768188619972,"54_Oakland, California, USA",drive,117,1.0517241379310345,1.0517241379310345,1.0,1.0,12.52599811553955
42,"(37.82204663249384, -122.26397648173108)",196,248,391,805,0.6998253513965295,False,136.76141511845944,95.70910539276251,"55_Oakland, California, USA",drive,340,1.2653061224489797,1.9948979591836735,1.5766129032258065,0.6342710997442456,26.915005683898926
43,"(37.87209043412264, -122.24371845763355)",35,46,46,805,0.9999999095885022,True,170.76328642847673,170.76327098951222,"56_Oakland, California, USA",drive,73,1.3142857142857143,1.3142857142857143,1.0,1.0,9.717001914978027
